ordine giocatori; giocatori; ruolo giocatori; stagione; nazionalita giocatore; acquirente; nazionalita acquirente; costo trasferimento
1; Neymar; Ala sinistra; 2017/2018; Brasiliana; Paris Saint-Germain; Francia; 220,00 milioni di euro
2; Kylian Mbappe; Punta centrale; 2018/2019; Francese; Paris Saint-Germain; Francia; 180,00 milioni di euro
3; Ousmane Dembele; Ala destra; 2017/2018; Francese; Barcellona; Spagna; 140,00 milioni di euro
4; Philippe Coutinho; Ala sinistra; 2017/2018; Brasiliana, Portoghese; Barcellona; Spagna; 120,00 milioni di euro
5; Joao Felix; Seconda punta; 2019/2020; Portoghese; Atletico Madrid; Spagna; 127,00 milioni di euro
6; Antoine Griezzmann; Seconda punta; 2019/2020; Francese;  Barcellona; Spagna; 120,00 milioni di euro
7; Jack Grealish; Ala sinistra; 2021/2022; Inglese, Irlandese; Manchester City; Inghilterra; 117,50 milioni di euro
8; Cristiano Ronaldo; Punta centrale; 2018/2019; Portoghese; Juventus; Italia; 117,00 milioni di euro
9; Eden Hazard; Ala sinistra; 2019/2020; Belga; Real Madrid; Spagna; 115,00 milioni di euro
10; Romelu Lukaku; punta centrale; 2021/2022; Belga; Chelsea;  Inghilterra; 113,00 milioni di euro
11; Paul Pogna; Centrale; 2016/2017; Francese; Manchester United; Inghilterra; 105,00 milioni di euro
12; Gareth Bale; Ala destra; 2013/2014; Gallese; Real Madrid; Spagna; 94,00 milioni di euro
13; Antony; Ala destra; 2022/2023; Brasiliano; Manchester United; Inghilterra; 95,00 milioni di euro
